name,owner,car_manufacturer,equipment_rating,teamRating,raceRating,drivers
Portenga Motorsports,Steve Portenga,Chevrolet,11,5,8,[]

Price Motorsports,,Dodge,5,5,5,['Randy Renfrow']

,,Chevrolet,5,5,5,[]

SKI Motorsports,,Chevrolet,8,5,7,[]

Tri-State Motorsports,,Ford,5,5,5,['Brandon Ash']

Tuttle Racing,,Chevrolet,9,5,7,[]

Powers Motorsports,Tom Powers,Dodge,15,4,10,[]

Sonntag Racing,,Chevrolet,7,4,6,[]

Troxell Motorsports,,Chevrolet,13,4,9,[]

Wellrich Motorsports,,Chevrolet,4,4,4,[]

Long Brothers Racing,,Ford,3,3,3,[]

Premier Motorsports,,Chevrolet,3,3,3,[]

R & J Racing,,Dodge,10,3,7,[]

Richardson Motorsports,,Chevrolet,10,3,7,[]

Smith Brothers Motorsports,,Chevrolet,14,3,9,[]

Miller Racing,,Chevrolet,2,2,2,[]

Otto Motorsports,,Ford,80,2,41,['Shane Lewis']

Sockwell Racing,,Chevrolet,17,12,15,[]

Team EJP,,Chevrolet,10,10,10,[]

Young Racing,,Chevrolet,10,2,6,[]

ORTEC Racing,,Chevrolet,3,3,3,[]

Norm Benning Racing,,Dodge,5,9,7,['Norm Benning']

